symbol,globalScore
PSEN1,0.8671138502017128
APP,0.8540101506507178
PSEN2,0.8172946923914078
APOE,0.7815022228562081
GRIN1,0.6836139345631277
SORL1,0.6833832980221779
CDK5,0.679590497043796
ADAM10,0.6731749841223225
GRIN3B,0.6507431604119212
ACHE,0.6276898384239006
ACE,0.6206966406201572
BCHE,0.620256792742029
APH1B,0.6183318659098008
GRIN2B,0.6109786599901247
CDK5R1,0.6074661348442697
HFE,0.6048602773233976
GRIN2A,0.5988088507002448
CDC25B,0.5985275901516723
GRIN2D,0.597221951945006
CR1,0.5958776464330214
EPHA1,0.5952292490307641
GRIN3A,0.592248725176737
GRIN2C,0.5919963523636346
GRN,0.5872056271568885
HMGCR,0.5853767013041479
ABCA7,0.5802849303167739
CD33,0.5796367096477516
FOXO3,0.5736305023122766
TREM2,0.5724815273910075
NDUFAB1,0.5706018730212599
CDKN2B,0.5571467940484545
BIN1,0.5536359878221929
GSK3B,0.5524719158949241
CDKN1A,0.5502875465751055
PSAP,0.5478260449002683
PLCG2,0.5447611002071141
CLU,0.5426097411545774
PLK1,0.5419717155468247
CDK4,0.5419417943238982
SMPD1,0.5416820358254651
NCK2,0.5411871507127486
MS4A6A,0.5346230457874066
AXL,0.5344077294780566
NDUFS5,0.5339588476632112
AURKB,0.5287759633031683
NDUFA8,0.5284709157316196
NDUFV2,0.5277532415855091
SCARB1,0.5276182686705879
LSM6,0.5268771472813407
CDKN2A,0.5262879367200846
CDKN1C,0.5250486731811728
CDK1,0.5248745038218616
RIOK2,0.5244154452261425
NDUFS1,0.5232633839227692
MTMR3,0.5232084476516636
FADS2,0.5223880919158287
DDX39B,0.5221986921984005
ATP6V1B2,0.5211752723946863
UQCRC1,0.5183860713313272
ATP6V1A,0.5182959504544525
AURKA,0.5155123056568938
CD2AP,0.5136010592615005
MPO,0.511754493198146
NDUFS2,0.5110539411128694
PIKFYVE,0.5089489781100042
CAMLG,0.5075988192398417
NDUFA9,0.5061718779111514
NR1H2,0.5047490624709965
CSNK1A1,0.5040358168138124
PICALM,0.5030910866104019
AKAP11,0.5030645574681958
MASTL,0.5030392466541774
TARS2,0.5030392466541774
ATP6V1C1,0.5029313970500541
CDK12,0.5016300431916646
KAT8,0.4994164242770699
INPP5D,0.4994146702508247
PI4KB,0.4993421627252597
CASS4,0.4987011726477731
TP53,0.4985158260455752
NDUFB7,0.4981214124775582
MTMR6,0.4976720716320659
H2BC4,0.4953245841496741
KIF1A,0.4934398645128667
BMS1,0.4900722624375334
CTSB,0.4899181715213121
MTOR,0.4896117363819076
NEU1,0.4885443143025273
OGG1,0.4877638979811488
PIK3CB,0.486866265618896
TGFBR2,0.4830081538169303
AP2S1,0.4828052979908348
RRP15,0.4813346513039723
SCD,0.4805772437511666
GABRP,0.4797656694900066
XPO1,0.4782781656208594
NOC4L,0.4771552769408291
RAB7A,0.4748243557925976
TGFBR1,0.4744478986154221
PTPN1,0.4733917275759063
CLK2,0.4733502874211701
CLTC,0.4728839712670384
PPT1,0.4727632847575055
NDUFS8,0.4691093215541423
FCF1,0.4690379000231848
SHARPIN,0.4688818873963715
NDUFB9,0.4688652507665982
PPP1R10,0.4686893597488367
NDUFA5,0.4685556494443896
GM2A,0.4684157194612444
AP2M1,0.467972398868533
HSD17B12,0.467953776078164
COPA,0.4663328321395697
NDUFC2,0.4659582283795619
SON,0.4651528457924181
COPG1,0.464992191482808
NUP93,0.4645086648999145
SF3B1,0.4644398507441357
ACACA,0.4641885146406692
BMP2K,0.4641007425409068
PIK3R1,0.464085753357332
NAGPA,0.4638903158507464
SNRPD3,0.4638227176293007
MDN1,0.4634832506063762
MED1,0.4634711034619965
MCM10,0.4633607428109449
NDUFA6,0.4632818477780767
KIF18B,0.4632221503654381
COPZ1,0.4630929331463163
SNX3,0.4630701093196636
TNPO3,0.4630322273845584
COPB1,0.4629911629562602
COPB2,0.462898767992589
DSTYK,0.462898767992589
HEATR1,0.462898767992589
ZNF207,0.462898767992589
PAF1,0.4628122530463495
SEC13,0.4627139780652466
DHX37,0.4626215831015755
PXK,0.462590500523488
PPP1R15B,0.4623443982105619
NUP205,0.4619748183558772
SNRPE,0.4619748183558772
IMP3,0.4619748183558772
LTV1,0.4619748183558772
SUPT6H,0.4619748183558772
PLRG1,0.4619748183558772
NOP16,0.4619748183558772
MTMR14,0.4619748183558772
PPAN,0.4619748183558772
TMEM106B,0.4616440412156088
LRP1,0.4613296769016496
DIMT1,0.4609498514953518
HTR2C,0.4605922382778775
PRDX2,0.4605584790270193
WDHD1,0.4598018260294176
SLC24A4,0.4594171011045164
PTK2B,0.4586420639085513
B4GALT2,0.4579725558921829
MT-ND1,0.4574563770686376
RASGEF1C,0.4567148897054895
ELMO2,0.4560426660377425
GBF1,0.4553786701053179
RSL24D1,0.454607398421626
BLOC1S5,0.4543078885741159
PTPN12,0.454225041613811
AP3B1,0.4540410740225907
LAMTOR3,0.4534566497001587
DHX15,0.4522231035939754
NECTIN2,0.4520503136634298
SBF1,0.4519351344543852
ATP1A1,0.451212480049824
WRAP53,0.4502866985733904
SNRPD2,0.4500574373353566
NDUFC1,0.449435129524411
TAOK1,0.4483204068100044
