symbol,globalScore
LRRK2,0.8798651249181423
SNCA,0.8715493715679493
ATP13A2,0.8573789610647229
PRKN,0.8573759502596523
PINK1,0.8563188094565454
DNAJC6,0.8250488941120694
PARK7,0.8187468949234997
FBXO7,0.8021364560856202
VPS35,0.781920161937569
GBA1,0.7671221741177345
PLA2G6,0.7490937247950102
VPS13C,0.7408681525928489
MAPT,0.7120222906552671
GRIN1,0.6948637597662874
CHRM1,0.666653505100479
PSAP,0.6539019401817677
DRD2,0.6412531980631218
CHCHD2,0.638849611848823
MAOB,0.6307100672239349
DRD3,0.6297452808799009
GRIN2A,0.6266734031530254
COMT,0.6262415450988105
GRIN2B,0.6258871233729315
DDC,0.6226997132004292
ATM,0.6189038806068939
DRD4,0.6127901468443077
GRIN2C,0.6078815831347348
ACHE,0.6077913265828163
GRIN2D,0.6076731550593693
DNAJC13,0.6058956652556041
GRIN3A,0.6045649700659762
GRIN3B,0.6039804624463964
EIF4G1,0.6029784067624373
BCHE,0.5966970978577056
ADORA2A,0.5930965310115013
DRD1,0.5916707952331857
ITPKB,0.5905106609613339
BRCA2,0.577933468659559
TMEM175,0.5747144469336697
BST1,0.5708800712769968
NDUFV2,0.5619537361718843
PTPA,0.5542944021214455
SYNJ1,0.554032661219804
HTR2A,0.5525069611519251
PODXL,0.5474894307552901
SMPD1,0.5467124037301219
NDUFA8,0.5448223024476979
NDUFS5,0.5444313825082884
GSK3B,0.5426631227217048
NDUFS1,0.5423155969649633
CDKN1A,0.5406273748823119
CHRM3,0.5382769278533346
AXL,0.5277414508359493
NDUFS2,0.5276265339630501
PLK1,0.5273776200012263
CDK4,0.5273391220996966
CHRM2,0.5267847523176696
LSM6,0.5261379875719714
AURKB,0.5261379875719714
RIOK2,0.5244154452261425
CDKN1C,0.5238109399817266
NR4A2,0.523513853804373
BRCA1,0.5232795726356818
ATP6V1B2,0.5226174431926079
HMGCR,0.5213850809987067
NDUFA9,0.519568922650445
RIT2,0.5192179802367941
GPNMB,0.5167742406000824
CDK1,0.5145928818877791
NDUFAB1,0.5141890983558501
NDUFB7,0.5133897463067494
TGFBR2,0.5132165739004239
UQCRC1,0.5092740113447015
HIP1R,0.5077462266858798
CDC25B,0.5049953699523468
NR1H2,0.5036607639624591
ENSG00000288636,0.5035336938353238
PACRG,0.5034580802604866
SH3GL2,0.5031573761458074
